8,6;390;0;210;16;742;776;186;3;78,5;0,92;23
18;350;0;150;16;865;797;200;4,4;50;0,6;80
6,21;350;0;150;16;731;747;235;5,6;60;0,75;60
5;500;70;0;16;1080;420;200;7;50;0,7;30
18,6;400;0;120;16;430,4;1303,8;160;6;30;0,5;30
7,3;380;80;0;16;901;737;216;5,4;55;0,75;30
9,8;390;0;210;16;735;769;186;2,9;117,8;0,92;13,8
11,5;390;0;210;16;742;776;186;3;78,5;0,92;32,2
8,5;390;0;210;16;742;776;186;3;78,5;0,92;13,8
6,5;350;0;150;16;744;755;235;5;30;0,75;60
6,6;420;200;0;16;819;670;228;5,7;24;0,75;30
13;350;0;150;16;865,3;793,8;200;12,5;40;0,75;30
7,4;390;0;210;16;749;783;186;3;39,3;0,92;13,8
6,5;350;0;150;16;732;751;235;3,5;30;0,75;60
5,6;400;140;0;16;819;670;240;6;24;0,75;30
13,4;350;30;100;16;870;750;140;5,6;58,8;0,75;30
20;350;561;150;16;494;816;164,5;5,25;25;0,75;30
2,7;250;70;250;19;924;549;205;11,8;60;0,16;6
5,09;350;0;150;16;734;749;235;5,25;45;0,75;60
12,4;350;30;100;16;870;750;140;5,6;39,2;0,9;60
12,9;420;100;0;16;873;715;228;5,7;24;0,75;30
15;350;0;150;16;865,3;793,8;200;12,5;40;0,9;60
11;350;0;150;16;865;797;200;4,4;46;0,1;40
6,5;420;0;180;10;777;636;120;4,2;39;0,55;35
9,2;500;70;0;19;977;578;200;9,5;60;0,16;6
5,7;400;40;0;16;874;715;240;6;24;0,75;30
11;350;0;150;16;865;798;200;4,4;50;0,3;55
22;350;561;150;16;494;816;164,5;4,2;50;0,75;30
17;350;561;150;16;494;816;164,5;4,55;20;0,16;13
6,1;350;30;100;16;870;750;140;5,6;19,6;0,75;30
5,4;350;0;150;16;744;755;235;7,3;30;0,75;60
11,8;390;0;210;16;735;769;186;2,9;117,8;0,92;32,2
10,8;390;0;210;16;749;783;186;3;39,3;0,92;32,2
5,39;350;0;150;16;736;752;235;3,15;30;0,75;60
6,9;350;0;150;16;741;752;235;5,5;45;0,75;60
7;500;58;0;16;1080;420;200;7;50;0,7;30
2,4;475;0;0;20;801;763;200;5,1;24;0,55;30
6;420;0;180;10;777;636;120;3,6;39;0,16;13
7,51;350;0;150;16;732;749;235;3,15;45;0,75;60
7,5;350;0;150;16;741;752;235;7,5;45;0,75;60
16,4;400;0;120;16;431,7;1307,7;160;6;15;0,5;30
9,8;380;80;0;16;901;737;216;5,4;24;0,75;30
6,2;350;0;150;16;738;749;235;5;60;0,75;60
13;350;561;150;16;494;816;164,5;4,2;10;0,16;13
5,1;350;0;150;16;741;752;235;4,5;45;0,75;60
20,7;400;0;120;16;427,7;1295,6;160;6;60;0,5;30
5,57;350;0;150;16;736;752;235;5,08;30;0,75;60
13;350;0;150;16;865;797;200;4,4;50;0,35;64
10;350;30;100;16;870;750;140;5,6;19,6;0,9;60
12;390;0;210;16;735;769;186;2,9;117,8;0,92;23
8,2;350;30;100;16;870;750;140;5,6;39,2;0,75;30
2,8;250;70;250;19;889;530;226;11,8;60;0,55;30
8,2;390;0;210;16;749;783;186;3;39,3;0,92;23
2,6;475;0;0;20;813;743;200;5,1;39;0,55;30
12,3;350;0;150;16;738;749;235;8;60;0,75;60
18,1;350;30;100;16;870;750;140;5,6;58,8;0,9;60
6,85;350;0;150;16;732;747;235;3,68;45;0,75;60
5,6;350;0;150;16;744;755;235;4,5;30;0,75;60
19,3;400;0;120;16;429;1299,7;160;6;45;0,5;30
12,3;350;0;150;16;736;752;235;3,5;60;0,75;60
